模型,R²,RMSE,MAE
MLP,0.9398314638461622,3469.1762307817044,2665.846082148707
Transformer,0.9155848133565899,4109.14940251998,3060.9465296749972
GRU,0.8685787234500674,5127.13177972956,3606.260808283757
CNN1D,0.865768784877099,5181.653882210873,3723.8630280107946
LSTM,0.8656069046683632,5184.777427160551,3728.2090192914907
